corpus,llm,llm_dir,threat_model,seed,document_idx,exemplar_length,binary_acc1,binary_acc5,true_class_confidence,entropy,bertscore,pinc,sample_id
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,0,814,1,1,0.39065065374563956,3.1829092410219366,0.7377614378929138,0.7297330765153738,229
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,1,1280,0,1,1.1418518839082705e-05,0.9583723762207883,0.694303035736084,0.681127981647386,315
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,2,1764,1,1,0.24479818961247615,4.0039138852379015,0.9108155369758606,0.11771846099589317,298
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,3,538,0,0,0.00015584452335342278,0.26340110586996324,0.7593111395835876,0.6435350829767319,89
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,4,1764,1,1,0.30094060433805775,3.383775181339304,0.8131012320518494,0.5468793465028552,132
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,5,1670,1,1,0.7913665758829297,1.578478638796808,0.8419807553291321,0.4948567199256582,327
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,6,1492,0,0,0.0010156848892462003,2.7019063622169037,0.8591629862785339,0.5416575993788196,29
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,7,2629,1,1,0.9985136951827096,0.021854733562559747,0.8673648834228516,0.46870859396510656,400
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,8,545,0,1,0.05650273330608976,3.4937303792232366,0.7758741974830627,0.6327352121874384,223
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,9,615,0,1,0.07979041058703303,1.848717040339797,0.8172374367713928,0.6460576262357582,144
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,10,1826,0,1,0.05690062028157518,4.014998394421098,0.8013545870780945,0.6098424745505945,364
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,11,231,0,0,0.00043694316537445997,2.498957025030543,0.7826662659645081,0.5455689696090916,186
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,12,1601,0,1,0.15809090318220084,4.036064093916378,0.7562748193740845,0.565275344824727,185
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,13,1726,0,0,0.040894071773609035,3.4352747285165495,0.7769151329994202,0.5845122450705055,342
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,14,1619,1,1,0.3887227994723282,3.4219216063351547,0.6394283771514893,0.7008690010213626,236
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,15,1068,0,1,0.008009269497770123,0.6081048126151058,0.6382110118865967,0.6801171932678993,468
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,16,1588,0,1,0.051086990251292236,1.5367935761271307,0.7815011739730835,0.6322810098453617,420
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,17,1960,1,1,0.7842664730491528,1.7278628837306234,0.6875960230827332,0.6132030684179138,92
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,18,2629,1,1,0.9417150467984758,0.554525880976516,0.6945172548294067,0.709661274781989,400
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,19,272,0,0,1.2685888417708765e-08,0.11335988798159885,0.7134839296340942,0.7288109229999908,42
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,20,578,0,1,0.042223394547564366,3.1122856678914177,0.6905723214149475,0.6996317342448772,423
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,21,2312,0,1,0.023232419391717198,1.7198956572703454,0.7194023132324219,0.7335901162357641,487
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,22,449,0,0,2.7363401236117254e-06,0.007408743295147097,0.8040896654129028,0.5650648570072812,245
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,23,1799,1,1,0.5824252301728634,2.330624648592008,0.7750544548034668,0.5896942965537325,199
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,24,346,0,1,0.06970264766292543,3.955769407699877,0.6518237590789795,0.6943836807918062,180
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,25,243,0,0,0.002566626553190272,2.2422970192629097,0.7834247350692749,0.62926757479884,314
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,26,1024,0,1,0.015304917568393224,0.2801680271272608,0.7491598725318909,0.6394211797781564,69
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,27,1280,0,0,0.023347398237987517,3.6923668120399324,0.8245860934257507,0.3845856939840777,315
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,28,1937,0,0,0.012732687819700378,4.287239879859355,0.7443973422050476,0.5790222871021946,366
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,29,268,1,1,0.8999577125293645,0.9007864758480433,0.9138160943984985,0.27697473356969143,398
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,30,2472,0,0,0.0003702561094007811,0.42789067232299216,0.7080613374710083,0.6952371834150327,264
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,31,526,0,1,0.013678953656966756,1.4197920370154582,0.8326671719551086,0.5155206348805411,224
ebg,ministral,ministral-8b-instruct-2410,logreg,93187,32,302,0,0,0.0006008241743091574,1.0710855219053268,0.6903665661811829,0.6936301593421538,439
