corpus,llm,llm_dir,threat_model,seed,document_idx,exemplar_length,binary_acc1,binary_acc5,true_class_confidence,entropy,bertscore,pinc,sample_id
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,0,2198,0,1,0.0011122135311589579,0.47071173074240696,0.8090521693229675,0.7632395382395383,475
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,1,1524,0,0,4.705240757275104e-05,0.06808672839969955,0.816022515296936,0.6824609409974035,205
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,2,2132,0,0,0.014262971758511427,2.8031730270310606,0.788680911064148,0.5585232920582139,171
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,3,346,0,1,0.15460836725317575,3.422697926174885,0.8848558068275452,0.5055949850105994,180
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,4,805,0,1,0.05416416887682157,3.126593907599141,0.7707244753837585,0.6925176248787638,443
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,5,481,0,1,0.14556058330895985,2.2567713320772587,0.8382482528686523,0.6521396849267515,238
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,6,832,0,0,0.0009983860255678796,3.376546444586699,0.854925811290741,0.6676049949029266,90
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,7,1296,1,1,0.9997947846103571,0.0035588217471053158,0.8564743995666504,0.571911342445677,393
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,8,898,0,1,0.1880321945730868,2.390022840350122,0.8045793771743774,0.672454281394094,340
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,9,1017,0,1,0.3024591287784166,2.5528962172780396,0.7839120626449585,0.6895956657865938,274
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,10,1828,0,0,0.0053484053168838435,2.7804074161646835,0.8569055199623108,0.6807281767194393,253
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,11,300,0,0,0.0020883419365660687,3.5556304624032067,0.7896222472190857,0.6770926441979074,22
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,12,2072,0,0,0.010809468731788466,4.667330825222249,0.7604683637619019,0.6946155800644047,129
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,13,1664,0,0,0.019354195469351024,2.148018648848045,0.723576545715332,0.7820024095104564,19
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,14,1733,0,0,0.03631285848717612,3.09046915669899,0.857969343662262,0.4105465113886276,247
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,15,436,0,1,0.00176010301217708,0.08304433232388596,0.7063173651695251,0.6504483580885356,50
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,16,2132,0,1,0.01072167730143745,0.7308640489202132,0.8616352677345276,0.5503756317631598,171
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,17,691,1,1,0.5650489946301942,1.8832869194947601,0.7072804570198059,0.7837272277659085,215
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,18,1484,1,1,0.9730309298879231,0.25055126290387114,0.7408364415168762,0.7340950021728615,80
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,19,422,0,0,0.005129878814962978,2.034004382224823,0.7623037695884705,0.7588022915622259,304
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,20,981,0,0,0.002906370719840975,1.4145814800523413,0.8743249177932739,0.5809883583220775,61
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,21,484,0,1,0.055563310843627214,3.090392184685389,0.8445748090744019,0.6420473342575901,371
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,22,2060,1,1,0.47128294845705054,1.7537452573368741,0.827453076839447,0.5925552558686831,333
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,23,1937,1,1,0.5400690949115757,2.6922273400170966,0.8420498967170715,0.5883829497488794,242
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,24,1017,0,0,0.00014713259045938645,2.2408010804054124,0.6834571361541748,0.8305241786834587,274
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,25,1719,0,0,0.029965113943739564,4.302633173689963,0.7929663062095642,0.7138830679154397,37
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,26,884,0,1,0.004404404838990661,1.7344635444562686,0.7379184365272522,0.7720719399357053,265
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,27,2311,0,0,0.006028352968865336,0.8667369109973427,0.8443432450294495,0.4073194662480377,269
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,28,1726,0,0,0.0008029079772916249,2.527644991597879,0.7662877440452576,0.6393109078038699,342
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,29,981,0,1,0.1958525299094153,3.4756285602564834,0.8203018307685852,0.5889051027291134,61
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,30,2036,1,1,0.7755822098711553,1.4983543958159484,0.8178130984306335,0.6769727406821716,435
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,31,1167,0,0,0.004650898723018299,2.2388236031584694,0.8611059784889221,0.5836541612714382,148
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,32,1961,0,0,1.4690923249302584e-05,0.06999083293795423,0.7158979773521423,0.7540706290380347,473
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,33,511,0,0,0.04002749891493807,3.4915613366254936,0.8390276432037354,0.5724022094885078,101
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,34,741,0,1,0.07357916846953375,3.6014170726596193,0.6898173093795776,0.7544857307391226,367
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,35,1751,0,0,4.89148540151416e-06,0.05355741338073077,0.7248649597167969,0.808835905702874,153
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,36,446,0,0,0.06678958551092144,4.436484768250136,0.519171416759491,0.8498545234293504,418
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,37,1589,0,0,0.054363487706405735,3.818322169119964,0.7507710456848145,0.7769067391687956,355
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,38,229,0,0,0.00012634494899327808,0.19038366539839294,0.823962926864624,0.5412134908314165,413
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,39,1937,0,0,0.04172004785592809,4.177574344137615,0.8688091039657593,0.5828881577548604,242
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,40,2629,1,1,0.9985822960032369,0.01610703147541673,0.8488302230834961,0.5641026008891356,400
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,41,2199,0,1,0.16048284763280185,2.8019911689177173,0.8781316876411438,0.5888994349902845,145
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,42,1876,0,1,0.1774093719522563,1.0700589044544144,0.8033298254013062,0.584585010060763,433
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,43,2517,0,0,0.00014822631823008096,2.303450405594186,0.7117992043495178,0.6776145797691359,10
ebg,gpt-4o,gpt-4o-2024-08-06,svm,103387,44,2041,0,1,0.021012682249796424,1.212820292398729,0.8876379132270813,0.5450989057388391,428
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,0,1444,0,0,1.8021201851439032e-05,0.5672592839658914,0.8099658489227295,0.7738348182604357,27
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,1,1525,0,0,0.023628844763177555,4.011656604309578,0.8331953883171082,0.6628669556870557,312
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,2,395,0,1,0.08261963556548657,4.361868914261186,0.8067241311073303,0.5472964066549484,271
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,3,1278,0,1,0.07917400270266031,3.4909235902875615,0.8332588076591492,0.6300211039659231,191
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,4,1866,0,0,0.04976669450096243,3.8769775022172746,0.7819430828094482,0.7159608015125986,75
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,5,1787,1,1,0.7882530738565267,1.4994528459456327,0.8643025755882263,0.5906934625963736,176
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,6,436,0,0,0.0158843951092021,3.2534094352555605,0.8391680121421814,0.5746825146709929,50
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,7,229,0,1,0.1457155894614737,4.04870387589471,0.8783992528915405,0.6109288696148385,413
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,8,473,0,1,0.023227370357580955,1.7301150053586773,0.7981915473937988,0.6534073630538344,206
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,9,1604,1,1,0.7542768720929007,1.9182498233155258,0.8776315450668335,0.5512083554846713,426
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,10,2372,0,0,0.025022195554577437,4.362783280733631,0.8855277299880981,0.5979409614357266,469
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,11,2124,0,0,0.00020708517486772653,3.3690060296708193,0.7347575426101685,0.7058464393503948,26
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,12,548,0,1,0.04644507962862332,3.643143923323386,0.818759560585022,0.5507377061823866,45
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,13,2660,0,0,0.019019516967464022,3.3942720971022426,0.7478365898132324,0.7420272839560912,159
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,14,906,0,1,0.12441148788634002,2.791041600071875,0.8185253143310547,0.6632039077614194,385
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,15,554,0,1,0.00498209887770335,0.18332875589462158,0.7358328700065613,0.6099651805182161,88
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,16,390,0,1,0.15983500788049265,3.2879572210315042,0.8187631368637085,0.6639629481298633,13
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,17,2168,0,1,0.2765046698142404,1.4903913199013314,0.6850171685218811,0.7647826828338727,56
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,18,2228,1,1,0.969996708194253,0.24258058285601322,0.7812577486038208,0.6376825429838548,154
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,19,426,0,0,5.373793566622068e-05,0.1167033927015958,0.759519100189209,0.7474594537901018,356
ebg,gpt-4o,gpt-4o-2024-08-06,svm,98473,20,430,0,0,0.0002401930721702469,1.8555849680989922,0.7118154764175415,0.7805269075194251,288
