Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
RJ,Backtranslation Via De,LogReg,Llama-3.1,"0.129 [0.054, 0.213]","0.287 [0.183, 0.397]","0.128 [0.059, 0.207]","3.816 [2.992, 4.313]","0.812 [0.710, 0.903]","0.272 [0.171, 0.377]","0.870 [0.788, 0.944]","0.545 [0.434, 0.659]","0.507 [0.390, 0.620]"
RJ,Backtranslation Via De,LogReg,Gemma-2,"0.112 [0.041, 0.191]","0.278 [0.177, 0.380]","0.118 [0.050, 0.200]","4.111 [3.532, 4.373]","0.887 [0.803, 0.958]","0.273 [0.174, 0.376]","0.871 [0.794, 0.942]","0.545 [0.434, 0.657]","0.508 [0.396, 0.622]"
RJ,Backtranslation Via De,LogReg,GPT-4o,"0.129 [0.054, 0.213]","0.548 [0.432, 0.661]","0.141 [0.066, 0.233]","3.491 [3.038, 3.899]","0.644 [0.527, 0.763]","0.724 [0.622, 0.821]","0.378 [0.267, 0.489]","0.889 [0.817, 0.954]","0.921 [0.857, 0.974]"
RJ,Backtranslation Via De,LogReg,Ministral,"0.096 [0.009, 0.261]","0.239 [0.124, 0.353]","0.101 [0.022, 0.212]","3.793 [3.021, 4.292]","0.408 [0.171, 0.666]","0.230 [0.144, 0.338]","0.887 [0.806, 0.950]","0.514 [0.398, 0.622]","0.453 [0.339, 0.564]"
RJ,Backtranslation Via De,LogReg,Claude-3.5,"0.062 [0.003, 0.193]","0.305 [0.190, 0.418]","0.067 [0.015, 0.131]","3.263 [2.737, 3.745]","0.296 [0.195, 0.400]","0.388 [0.275, 0.499]","0.689 [0.582, 0.796]","0.758 [0.659, 0.851]","0.857 [0.775, 0.930]"
RJ,Backtranslation Via De,SVM,Llama-3.1,"0.085 [0.030, 0.153]","0.252 [0.157, 0.364]","0.086 [0.028, 0.152]","4.206 [3.709, 4.386]","0.812 [0.710, 0.903]","0.272 [0.171, 0.377]","0.870 [0.788, 0.944]","0.545 [0.434, 0.659]","0.507 [0.390, 0.620]"
RJ,Backtranslation Via De,SVM,Gemma-2,"0.085 [0.030, 0.153]","0.226 [0.133, 0.328]","0.088 [0.029, 0.156]","4.206 [3.709, 4.386]","0.887 [0.803, 0.958]","0.273 [0.174, 0.376]","0.871 [0.794, 0.942]","0.545 [0.434, 0.657]","0.508 [0.396, 0.622]"
RJ,Backtranslation Via De,SVM,GPT-4o,"0.120 [0.052, 0.201]","0.495 [0.375, 0.613]","0.114 [0.050, 0.188]","4.206 [3.709, 4.386]","0.644 [0.527, 0.763]","0.724 [0.622, 0.821]","0.378 [0.267, 0.489]","0.889 [0.817, 0.954]","0.921 [0.857, 0.974]"
RJ,Backtranslation Via De,SVM,Ministral,"0.086 [0.007, 0.234]","0.261 [0.164, 0.367]","0.087 [0.029, 0.161]","4.206 [3.709, 4.386]","0.408 [0.171, 0.666]","0.230 [0.144, 0.338]","0.887 [0.806, 0.950]","0.514 [0.398, 0.622]","0.453 [0.339, 0.564]"
RJ,Backtranslation Via De,SVM,Claude-3.5,"0.096 [0.012, 0.233]","0.374 [0.262, 0.492]","0.097 [0.036, 0.168]","4.206 [3.709, 4.386]","0.296 [0.195, 0.400]","0.388 [0.275, 0.499]","0.689 [0.582, 0.796]","0.758 [0.659, 0.851]","0.857 [0.775, 0.930]"
RJ,Backtranslation Via De,RoBERTa,Llama-3.1,"0.065 [0.006, 0.190]","0.218 [0.128, 0.315]","0.068 [0.017, 0.134]","4.206 [3.709, 4.386]","0.812 [0.710, 0.903]","0.272 [0.171, 0.377]","0.870 [0.788, 0.944]","0.545 [0.434, 0.659]","0.507 [0.390, 0.620]"
RJ,Backtranslation Via De,RoBERTa,Gemma-2,"0.085 [0.030, 0.153]","0.155 [0.075, 0.242]","0.071 [0.017, 0.134]","4.206 [3.709, 4.386]","0.887 [0.803, 0.958]","0.273 [0.174, 0.376]","0.871 [0.794, 0.942]","0.545 [0.434, 0.657]","0.508 [0.396, 0.622]"
RJ,Backtranslation Via De,RoBERTa,GPT-4o,"0.174 [0.091, 0.265]","0.426 [0.313, 0.543]","0.185 [0.098, 0.276]","4.206 [3.709, 4.386]","0.644 [0.527, 0.763]","0.724 [0.622, 0.821]","0.378 [0.267, 0.489]","0.889 [0.817, 0.954]","0.921 [0.857, 0.974]"
RJ,Backtranslation Via De,RoBERTa,Ministral,"0.065 [0.006, 0.190]","0.164 [0.077, 0.252]","0.065 [0.017, 0.131]","4.206 [3.709, 4.386]","0.408 [0.171, 0.666]","0.230 [0.144, 0.338]","0.887 [0.806, 0.950]","0.514 [0.398, 0.622]","0.453 [0.339, 0.564]"
RJ,Backtranslation Via De,RoBERTa,Claude-3.5,"0.193 [0.106, 0.285]","0.295 [0.192, 0.403]","0.183 [0.100, 0.274]","4.206 [3.709, 4.386]","0.296 [0.195, 0.400]","0.388 [0.275, 0.499]","0.689 [0.582, 0.796]","0.758 [0.659, 0.851]","0.857 [0.775, 0.930]"
