Corpus,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
RJ,LogReg,Gemma-2,"-0.174 [-0.245, -0.095]","-0.293 [-0.394, -0.191]","-0.117 [-0.185, -0.035]","-0.166 [-0.298, -0.106]",,,,,
RJ,LogReg,Claude-3.5,"-0.224 [-0.282, -0.093]","-0.267 [-0.381, -0.154]","-0.168 [-0.220, -0.104]","-0.359 [-0.479, -0.249]",,,,,
RJ,LogReg,Ministral,"-0.190 [-0.277, -0.025]","-0.332 [-0.448, -0.219]","-0.134 [-0.213, -0.023]","-0.238 [-0.414, -0.125]",,,,,
RJ,LogReg,Llama-3.1,"-0.156 [-0.231, -0.072]","-0.285 [-0.388, -0.174]","-0.107 [-0.176, -0.028]","-0.233 [-0.421, -0.120]",,,,,
RJ,LogReg,GPT-4o,"-0.156 [-0.231, -0.072]","-0.024 [-0.140, 0.090]","-0.093 [-0.168, -0.002]","-0.307 [-0.410, -0.214]",,,,,
RJ,SVM,Gemma-2,"-0.200 [-0.256, -0.133]","-0.298 [-0.391, -0.196]","-0.044 [-0.103, 0.025]","-2.395 [-2.508, -2.354]",,,,,
RJ,SVM,Claude-3.5,"-0.190 [-0.274, -0.053]","-0.150 [-0.262, -0.031]","-0.035 [-0.096, 0.036]","-2.395 [-2.508, -2.354]",,,,,
RJ,SVM,Ministral,"-0.199 [-0.279, -0.052]","-0.263 [-0.360, -0.156]","-0.045 [-0.103, 0.029]","-2.395 [-2.508, -2.354]",,,,,
RJ,SVM,Llama-3.1,"-0.200 [-0.256, -0.133]","-0.272 [-0.367, -0.160]","-0.046 [-0.104, 0.020]","-2.395 [-2.508, -2.354]",,,,,
RJ,SVM,GPT-4o,"-0.166 [-0.234, -0.084]","-0.029 [-0.149, 0.089]","-0.018 [-0.082, 0.056]","-2.395 [-2.508, -2.354]",,,,,
RJ,RoBERTa,Gemma-2,"-0.105 [-0.161, -0.037]","-0.416 [-0.496, -0.329]","-0.127 [-0.181, -0.064]","-0.206 [-0.319, -0.164]",,,,,
RJ,RoBERTa,Claude-3.5,"0.002 [-0.084, 0.095]","-0.276 [-0.380, -0.168]","-0.015 [-0.098, 0.076]","-0.206 [-0.319, -0.164]",,,,,
RJ,RoBERTa,Ministral,"-0.126 [-0.185, -0.000]","-0.407 [-0.494, -0.319]","-0.133 [-0.182, -0.067]","-0.206 [-0.319, -0.164]",,,,,
RJ,RoBERTa,Llama-3.1,"-0.126 [-0.185, -0.000]","-0.354 [-0.443, -0.256]","-0.130 [-0.181, -0.065]","-0.206 [-0.319, -0.164]",,,,,
RJ,RoBERTa,GPT-4o,"-0.017 [-0.099, 0.075]","-0.145 [-0.258, -0.028]","-0.013 [-0.100, 0.077]","-0.206 [-0.319, -0.164]",,,,,
