Corpus,Scenario,Threat Model,Defense Model,Acc@1 ↓,Acc@5 ↓,True Class Conf ↓,Entropy ↑,BLEU ↑,METEOR ↑,PINC ↑,BERTScore ↑,SBERT ↑
EBG,backtranslation via de,LogReg,GPT-4o,"0.556 [0.238, 0.859]","0.709 [0.400, 0.957]","0.425 [0.117, 0.739]","4.780 [4.683, 4.870]",,"0.738 [0.723, 0.753]","0.380 [0.369, 0.391]","0.893 [0.886, 0.901]","0.971 [0.968, 0.974]"
EBG,backtranslation via de,LogReg,Ministral,"0.126 [0.001, 0.492]","0.246 [0.017, 0.538]","0.152 [0.000, 0.475]","4.287 [4.171, 4.405]",,"0.164 [0.151, 0.179]","0.943 [0.935, 0.951]","0.480 [0.467, 0.493]","0.117 [0.095, 0.139]"
EBG,backtranslation via de,LogReg,Claude-3.5,"0.386 [0.090, 0.712]","0.587 [0.276, 0.904]","0.310 [0.031, 0.612]","4.719 [4.615, 4.814]",,"0.408 [0.393, 0.426]","0.632 [0.620, 0.645]","0.779 [0.769, 0.789]","0.940 [0.936, 0.945]"
EBG,backtranslation via de,LogReg,Llama-3.1,"0.126 [0.001, 0.492]","0.230 [0.013, 0.542]","0.153 [0.001, 0.470]","4.673 [4.576, 4.774]",,"0.235 [0.220, 0.250]","0.918 [0.907, 0.927]","0.512 [0.498, 0.526]","0.132 [0.107, 0.157]"
EBG,backtranslation via de,LogReg,Gemma-2,"0.162 [0.001, 0.476]","0.230 [0.013, 0.542]","0.156 [0.002, 0.478]","4.695 [4.598, 4.792]",,"0.261 [0.240, 0.280]","0.896 [0.884, 0.907]","0.524 [0.505, 0.542]","0.145 [0.119, 0.174]"
EBG,backtranslation via de,SVM,GPT-4o,"0.567 [0.243, 0.886]","0.709 [0.400, 0.957]","0.280 [0.022, 0.569]","4.780 [4.683, 4.870]",,"0.738 [0.723, 0.753]","0.380 [0.369, 0.391]","0.893 [0.886, 0.901]","0.971 [0.968, 0.974]"
EBG,backtranslation via de,SVM,Ministral,"0.126 [0.001, 0.492]","0.126 [0.001, 0.492]","0.148 [0.000, 0.473]","4.287 [4.171, 4.405]",,"0.164 [0.151, 0.179]","0.943 [0.935, 0.951]","0.480 [0.467, 0.493]","0.117 [0.095, 0.139]"
EBG,backtranslation via de,SVM,Claude-3.5,"0.386 [0.090, 0.712]","0.556 [0.238, 0.859]","0.240 [0.019, 0.542]","4.719 [4.615, 4.814]",,"0.408 [0.393, 0.426]","0.632 [0.620, 0.645]","0.779 [0.769, 0.789]","0.940 [0.936, 0.945]"
EBG,backtranslation via de,SVM,Llama-3.1,"0.126 [0.001, 0.492]","0.162 [0.001, 0.476]","0.152 [0.002, 0.474]","4.673 [4.576, 4.774]",,"0.235 [0.220, 0.250]","0.918 [0.907, 0.927]","0.512 [0.498, 0.526]","0.132 [0.107, 0.157]"
EBG,backtranslation via de,SVM,Gemma-2,"0.126 [0.001, 0.492]","0.197 [0.004, 0.507]","0.149 [0.002, 0.455]","4.695 [4.598, 4.792]",,"0.261 [0.240, 0.280]","0.896 [0.884, 0.907]","0.524 [0.505, 0.542]","0.145 [0.119, 0.174]"
EBG,backtranslation via de,RoBERTa,GPT-4o,"0.587 [0.276, 0.904]","0.678 [0.361, 0.950]","0.557 [0.228, 0.861]","4.780 [4.683, 4.870]",,"0.738 [0.723, 0.753]","0.380 [0.369, 0.391]","0.893 [0.886, 0.901]","0.971 [0.968, 0.974]"
