corpus,llm,llm_dir,threat_model,seed,document_idx,exemplar_length,accuracy@1,accuracy@5,true_class_confidence,entropy,bertscore,pinc,sample_id,binary_acc1,binary_acc5
rj,gemma-2,gemma-2-9b-it,logreg,93187,0,814,0,1,7.139682312092211e-05,0.002527413897168231,0.7385802865028381,0.7180824672534871,229,0,1
rj,gemma-2,gemma-2-9b-it,logreg,93187,1,1280,0,0,4.184840479451737e-05,0.027965070868206633,0.7385802865028381,0.7180824672534871,315,0,0
rj,gemma-2,gemma-2-9b-it,logreg,93187,2,1764,0,1,6.850717888505578e-05,0.002642220386271751,0.7385802865028381,0.7180824672534871,298,0,1
rj,gemma-2,gemma-2-9b-it,logreg,93187,3,538,0,0,1.0964305449079251e-06,0.28440684747163547,0.7385802865028381,0.7180824672534871,89,0,0
rj,gemma-2,gemma-2-9b-it,logreg,93187,4,1764,0,1,0.009212867532631595,1.2058939585451687,0.7385802865028381,0.7180824672534871,132,0,1
rj,gemma-2,gemma-2-9b-it,logreg,93187,5,1670,0,0,8.546150709919108e-08,0.0039947151153244785,0.7385802865028381,0.7180824672534871,327,0,0
rj,gemma-2,gemma-2-9b-it,logreg,93187,6,1492,0,0,1.0986135004534417e-08,0.19009963666986526,0.7385802865028381,0.7180824672534871,29,0,0
rj,gemma-2,gemma-2-9b-it,logreg,93187,7,2629,0,1,4.147054105110713e-06,0.8357468694856888,0.7385802865028381,0.7180824672534871,400,0,1
rj,gemma-2,gemma-2-9b-it,logreg,93187,8,545,1,1,0.6365873930293792,1.3808891082817527,0.7385802865028381,0.7180824672534871,223,1,1
rj,gemma-2,gemma-2-9b-it,logreg,93187,9,615,0,0,7.018405990788394e-09,0.9998881083129835,0.7385802865028381,0.7180824672534871,144,0,0
rj,gemma-2,gemma-2-9b-it,logreg,93187,10,1826,0,1,0.06626887681834343,0.9966183760212095,0.7385802865028381,0.7180824672534871,364,0,1
rj,gemma-2,gemma-2-9b-it,logreg,93187,11,231,0,0,1.7249728843234393e-05,1.774019298903682,0.7385802865028381,0.7180824672534871,186,0,0
rj,gemma-2,gemma-2-9b-it,logreg,93187,12,1601,0,1,0.010763952095820376,0.37813343408507905,0.7385802865028381,0.7180824672534871,185,0,1
rj,gemma-2,gemma-2-9b-it,logreg,93187,13,1726,0,0,6.140188043546576e-07,0.10847151766283901,0.7385802865028381,0.7180824672534871,342,0,0
rj,gemma-2,gemma-2-9b-it,logreg,93187,14,1619,0,1,0.025347570562709913,0.9801600053463706,0.7385802865028381,0.7180824672534871,236,0,1
rj,gemma-2,gemma-2-9b-it,logreg,93187,15,1068,0,1,2.3669144219183373e-06,0.0005951883755597351,0.7385802865028381,0.7180824672534871,468,0,1
rj,gemma-2,gemma-2-9b-it,logreg,93187,16,1588,0,0,6.199182420822745e-06,2.330304705960686,0.7385802865028381,0.7180824672534871,420,0,0
rj,gemma-2,gemma-2-9b-it,logreg,93187,17,1960,0,0,0.0008432648760178085,1.3298825215617947,0.7385802865028381,0.7180824672534871,92,0,0
rj,gemma-2,gemma-2-9b-it,logreg,93187,18,2629,0,1,3.706810952030074e-05,0.0017481283927432139,0.7385802865028381,0.7180824672534871,400,0,1
rj,gemma-2,gemma-2-9b-it,logreg,93187,19,272,0,0,1.4502617419448172e-07,0.15933071382816968,0.7385802865028381,0.7180824672534871,42,0,0
rj,gemma-2,gemma-2-9b-it,logreg,93187,20,578,0,0,2.083213575528366e-05,1.181115837137325,0.7385802865028381,0.7180824672534871,423,0,0
rj,gemma-2,gemma-2-9b-it,logreg,101089,0,1030,0,1,0.47478116383147995,1.0253557012627603,0.7410281300544739,0.7217815239516718,399,0,1
rj,gemma-2,gemma-2-9b-it,logreg,101089,1,1167,0,0,5.7842922779529905e-05,0.2591954772285737,0.7410281300544739,0.7217815239516718,148,0,0
rj,gemma-2,gemma-2-9b-it,logreg,101089,2,1326,0,0,2.4276051660511117e-05,0.05007246558458376,0.7410281300544739,0.7217815239516718,330,0,0
rj,gemma-2,gemma-2-9b-it,logreg,101089,3,311,0,1,0.09764804694159636,2.74799384106805,0.7410281300544739,0.7217815239516718,295,0,1
rj,gemma-2,gemma-2-9b-it,logreg,101089,4,1492,0,0,0.037052125360640606,2.7401099300201044,0.7410281300544739,0.7217815239516718,29,0,0
rj,gemma-2,gemma-2-9b-it,logreg,101089,5,1692,0,0,9.470297609348453e-09,0.0015529855763658361,0.7410281300544739,0.7217815239516718,240,0,0
rj,gemma-2,gemma-2-9b-it,logreg,101089,6,230,0,0,8.768141745652533e-09,0.011545948592834084,0.7410281300544739,0.7217815239516718,228,0,0
